Date,Confirmed,Recovered,Deceased
2020-07-18,593.0,204.0,2.0
2020-07-19,821.0,172.0,2.0
2020-07-20,794.0,245.0,1.0
2020-07-21,720.0,274.0,1.0
2020-07-22,1038.0,272.0,1.0
2020-07-23,1078.0,432.0,5.0
2020-07-24,885.0,968.0,4.0
2020-07-25,1103.0,1049.0,5.0
2020-07-26,927.0,689.0,2.0
2020-07-27,702.0,745.0,2.0
2020-07-28,1167.0,679.0,4.0
2020-07-29,903.0,645.0,1.0
2020-07-30,506.0,790.0,2.0
2020-07-31,1310.0,864.0,3.0
2020-08-01,1129.0,752.0,8.0
2020-08-02,1169.0,688.0,1.0
2020-08-03,962.0,815.0,2.0
2020-08-04,1083.0,1021.0,3.0
2020-08-05,1195.0,1234.0,7.0
2020-08-06,1298.0,800.0,3.0
2020-08-07,1251.0,814.0,5.0
2020-08-08,1420.0,1715.0,4.0
2020-08-09,1211.0,970.0,2.0
2020-08-10,1184.0,784.0,7.0
2020-08-11,1417.0,1426.0,5.0
2020-08-12,1212.0,880.0,6.0
2020-08-13,1564.0,766.0,3.0
2020-08-14,1569.0,1304.0,10.0
2020-08-15,1608.0,803.0,7.0
2020-08-16,1530.0,1099.0,10.0
2020-08-17,1725.0,1131.0,13.0
2020-08-18,1758.0,1365.0,6.0
2020-08-19,2333.0,1217.0,7.0
2020-08-20,1968.0,1217.0,9.0
2020-08-21,1983.0,1419.0,12.0
2020-08-22,2172.0,1292.0,15.0
2020-08-23,1908.0,1110.0,5.0
2020-08-24,1242.0,1238.0,11.0
2020-08-25,2375.0,1456.0,10.0
2020-08-26,2476.0,1351.0,13.0
2020-08-27,2406.0,2067.0,10.0
2020-08-28,2543.0,2097.0,7.0
2020-08-29,2397.0,2225.0,6.0
2020-08-30,2154.0,1766.0,7.0
2020-08-31,1530.0,1693.0,7.0
2020-09-01,1140.0,2111.0,4.0
2020-09-02,1547.0,2129.0,7.0
2020-09-03,1553.0,1950.0,10.0
2020-09-04,2479.0,2716.0,11.0
2020-09-05,2655.0,2111.0,11.0
2020-09-06,3082.0,2196.0,10.0
2020-09-07,1648.0,2246.0,12.0
2020-09-08,3026.0,1862.0,13.0
2020-09-09,3402.0,2058.0,12.0
2020-09-10,3349.0,1657.0,12.0
2020-09-11,2988.0,1326.0,14.0
2020-09-12,2885.0,1944.0,15.0
2020-09-13,3139.0,1855.0,14.0
2020-09-14,2540.0,2110.0,15.0
2020-09-15,3215.0,2532.0,12.0
2020-09-16,3830.0,2263.0,14.0
2020-09-17,4351.0,2737.0,9.0
2020-09-18,4167.0,2744.0,12.0
2020-09-19,4644.0,2862.0,18.0
2020-09-20,4696.0,2751.0,16.0
2020-09-21,2910.0,3026.0,18.0
2020-09-22,4125.0,3007.0,19.0
2020-09-23,5376.0,2951.0,20.0
2020-09-24,6324.0,3168.0,21.0
2020-09-25,6477.0,3481.0,22.0
2020-09-26,7006.0,3199.0,21.0
2020-09-27,7445.0,3391.0,21.0
2020-09-28,4538.0,3347.0,20.0
2020-09-29,7354.0,3420.0,22.0
2020-09-30,8830.0,3536.0,23.0
2020-10-01,8135.0,2828.0,29.0
2020-10-02,9258.0,4092.0,20.0
2020-10-03,7834.0,4476.0,22.0
2020-10-04,8553.0,4851.0,23.0
2020-10-05,5042.0,4640.0,23.0
2020-10-06,7871.0,4981.0,25.0
2020-10-07,10606.0,6161.0,22.0
2020-10-08,5445.0,7003.0,24.0
2020-10-09,9250.0,8048.0,25.0
2020-10-10,11755.0,7570.0,23.0
2020-10-11,9347.0,8924.0,25.0
2020-10-12,5930.0,7836.0,22.0
2020-10-13,8764.0,7723.0,21.0
2020-10-14,6244.0,7792.0,20.0
2020-10-15,7789.0,7082.0,23.0
2020-10-16,7283.0,6767.0,24.0
2020-10-17,9016.0,7991.0,26.0
2020-10-18,7631.0,8410.0,22.0
2020-10-19,5022.0,7469.0,21.0
2020-10-20,6591.0,7375.0,24.0
2020-10-21,8369.0,6839.0,26.0
2020-10-22,7482.0,7593.0,23.0
2020-10-23,8511.0,6118.0,26.0
2020-10-24,8253.0,6468.0,25.0
2020-10-25,6843.0,7649.0,26.0
2020-10-26,4287.0,7107.0,20.0
2020-10-27,5457.0,7015.0,24.0
2020-10-28,8790.0,7660.0,27.0
2020-10-29,7020.0,8474.0,26.0
2020-10-30,6638.0,7828.0,28.0
2020-10-31,7983.0,7330.0,27.0
2020-11-01,7025.0,8511.0,28.0
2020-11-02,4138.0,7108.0,21.0
2020-11-03,6862.0,8802.0,26.0
2020-11-04,8516.0,8206.0,28.0
2020-11-05,6820.0,7699.0,26.0
2020-11-06,7002.0,7854.0,27.0
2020-11-07,7201.0,7120.0,28.0
2020-11-08,5440.0,6853.0,24.0
2020-11-09,3593.0,5983.0,22.0
2020-11-10,6010.0,6698.0,28.0
2020-11-11,7007.0,7252.0,29.0
2020-11-12,5537.0,6119.0,25.0
2020-11-13,5804.0,6201.0,26.0
2020-11-14,6357.0,6793.0,26.0
2020-11-15,4581.0,6684.0,21.0
2020-11-16,2710.0,6567.0,19.0
2020-11-17,5792.0,6620.0,27.0
2020-11-18,6419.0,7066.0,28.0
2020-11-19,5722.0,6860.0,26.0
2020-11-20,6028.0,6398.0,28.0
2020-11-21,5772.0,6719.0,25.0
2020-11-22,5254.0,6227.0,27.0
2020-11-23,3757.0,5425.0,22.0
2020-11-24,5420.0,5149.0,24.0
2020-11-25,6491.0,5770.0,26.0
2020-11-26,5378.0,5970.0,27.0
2020-11-27,3966.0,4544.0,23.0
2020-11-28,6250.0,5275.0,25.0
2020-11-29,5643.0,5861.0,27.0
2020-11-30,3382.0,6055.0,21.0
2020-12-01,5375.0,6151.0,26.0
2020-12-02,6316.0,5924.0,28.0
2020-12-03,5376.0,5590.0,31.0
2020-12-04,5718.0,5496.0,29.0
2020-12-05,5848.0,5820.0,32.0
2020-12-06,4777.0,5217.0,28.0
2020-12-07,3272.0,4705.0,23.0
2020-12-08,5032.0,4735.0,31.0
2020-12-09,4875.0,4647.0,35.0
2020-12-10,4470.0,4847.0,26.0
2020-12-11,4642.0,4748.0,29.0
2020-12-12,5949.0,5268.0,32.0
2020-12-13,4698.0,5258.0,29.0
2020-12-14,2707.0,4481.0,24.0
2020-12-15,5218.0,5066.0,33.0
2020-12-16,6185.0,5728.0,27.0
2020-12-17,4969.0,4970.0,27.0
2020-12-18,5456.0,4701.0,23.0
2020-12-19,6293.0,4749.0,29.0
2020-12-20,5711.0,4471.0,30.0
2020-12-21,3423.0,4494.0,27.0
2020-12-22,6049.0,5057.0,27.0
2020-12-23,6169.0,4808.0,22.0
2020-12-24,5177.0,4801.0,22.0
2020-12-25,5397.0,4506.0,16.0
2020-12-26,3527.0,3782.0,21.0
2020-12-27,4905.0,3463.0,25.0
2020-12-28,3047.0,4172.0,14.0
2020-12-29,5887.0,5029.0,24.0
2020-12-30,6268.0,5707.0,28.0
2020-12-31,5215.0,5376.0,30.0
2021-01-01,4991.0,5111.0,23.0
2021-01-02,5328.0,4985.0,21.0
2021-01-03,4600.0,4668.0,25.0
2021-01-04,3021.0,5145.0,19.0
2021-01-05,5615.0,4922.0,24.0
2021-01-06,6394.0,5110.0,25.0
2021-01-07,5051.0,5639.0,25.0
2021-01-08,5142.0,5324.0,23.0
2021-01-09,5528.0,5424.0,22.0
2021-01-10,4545.0,4659.0,23.0
2021-01-11,3110.0,3922.0,20.0
2021-01-12,5507.0,4270.0,25.0
2021-01-13,6004.0,5158.0,26.0
2021-01-14,5490.0,4337.0,19.0
2021-01-15,5624.0,4603.0,23.0
2021-01-16,5960.0,5011.0,27.0
2021-01-17,5005.0,4408.0,21.0
2021-01-18,3346.0,3921.0,17.0
2021-01-19,6186.0,4296.0,26.0
2021-01-20,6815.0,7364.0,18.0
2021-01-21,6334.0,6229.0,21.0
2021-01-22,6753.0,6108.0,19.0
2021-01-23,6960.0,5283.0,23.0
2021-01-24,6036.0,5173.0,20.0
2021-01-25,3361.0,5606.0,17.0
2021-01-26,6293.0,5290.0,19.0
2021-01-27,5659.0,5006.0,20.0
2021-01-28,5771.0,5594.0,19.0
2021-01-29,6268.0,6398.0,22.0
2021-01-30,6282.0,7032.0,18.0
2021-01-31,5266.0,5730.0,21.0
2021-02-01,3459.0,5215.0,17.0
2021-02-02,5716.0,5747.0,16.0
2021-02-03,6356.0,6380.0,20.0
2021-02-04,6102.0,6341.0,17.0
2021-02-05,5610.0,6653.0,19.0
2021-02-06,5942.0,6178.0,16.0
2021-02-07,6075.0,5948.0,19.0
2021-02-08,3742.0,5959.0,16.0
2021-02-09,5214.0,6475.0,19.0
2021-02-10,5980.0,5745.0,18.0
2021-02-11,5281.0,5692.0,16.0
2021-02-12,5397.0,5332.0,18.0
2021-02-13,5471.0,5835.0,16.0
2021-02-14,4612.0,4692.0,15.0
2021-02-15,2884.0,5073.0,13.0
2021-02-16,4937.0,5439.0,18.0
2021-02-17,4892.0,4832.0,16.0
2021-02-18,4584.0,5193.0,14.0
2021-02-19,4505.0,4854.0,15.0
2021-02-20,4650.0,5841.0,13.0
2021-02-21,4070.0,4345.0,15.0
2021-02-22,2212.0,5037.0,16.0
2021-02-23,4034.0,4823.0,14.0
2021-02-24,4106.0,5885.0,17.0
2021-02-25,3677.0,4652.0,14.0
2021-02-26,3671.0,4142.0,14.0
2021-02-27,3792.0,4650.0,18.0
2021-02-28,3254.0,4333.0,15.0
2021-03-01,1938.0,3475.0,13.0
2021-03-02,2938.0,3512.0,16.0
2021-03-03,2765.0,4031.0,15.0
2021-03-04,2616.0,4156.0,14.0
2021-03-05,2776.0,3638.0,16.0
2021-03-06,2791.0,3517.0,16.0
2021-03-07,2100.0,4039.0,13.0
2021-03-08,1412.0,3030.0,12.0
2021-03-09,2316.0,4386.0,16.0
2021-03-10,2475.0,4192.0,14.0
2021-03-11,2133.0,3753.0,13.0
2021-03-12,1780.0,3377.0,14.0
2021-03-13,2035.0,3256.0,12.0
2021-03-14,1792.0,3238.0,15.0
2021-03-15,1054.0,3463.0,11.0
2021-03-16,1970.0,2884.0,15.0
2021-03-17,2098.0,2815.0,13.0
2021-03-18,1899.0,2119.0,15.0
2021-03-19,1984.0,1965.0,17.0
2021-03-20,2078.0,2211.0,15.0
2021-03-21,1875.0,2251.0,13.0
2021-03-22,1239.0,1766.0,12.0
2021-03-23,1985.0,2172.0,10.0
2021-03-24,2456.0,2060.0,10.0
2021-03-25,1989.0,1865.0,12.0
2021-03-26,1825.0,1917.0,14.0
2021-03-27,2055.0,2084.0,14.0
2021-03-28,2216.0,1853.0,12.0
2021-03-29,1549.0,1897.0,11.0
2021-03-30,2389.0,1946.0,16.0
2021-03-31,2653.0,2039.0,15.0
2021-04-01,2798.0,1835.0,11.0
2021-04-02,2508.0,2287.0,14.0
2021-04-03,2541.0,1660.0,12.0
2021-04-04,2802.0,2173.0,10.0
2021-04-05,2357.0,1866.0,12.0
2021-04-06,3502.0,1898.0,14.0
2021-04-07,3502.0,1955.0,16.0
2021-04-08,4353.0,2205.0,18.0
2021-04-09,5063.0,2475.0,22.0
2021-04-10,6194.0,2584.0,17.0
2021-04-11,6986.0,2358.0,16.0
2021-04-12,5692.0,2474.0,11.0
2021-04-13,7515.0,2959.0,20.0
2021-04-14,8778.0,2642.0,22.0
2021-04-15,8126.0,2700.0,20.0
2021-04-16,10031.0,3792.0,21.0
2021-04-17,13835.0,3654.0,27.0
2021-04-18,18257.0,4565.0,25.0
2021-04-19,13644.0,4305.0,21.0
2021-04-20,19577.0,3880.0,28.0
2021-04-21,22414.0,5431.0,22.0
2021-04-22,26995.0,6370.0,28.0
2021-04-23,28447.0,5663.0,27.0
2021-04-24,26685.0,7067.0,25.0
2021-04-25,28469.0,8122.0,30.0
2021-04-26,21890.0,7943.0,28.0
2021-04-27,32819.0,18413.0,32.0
2021-04-28,35013.0,15505.0,41.0
2021-04-29,38607.0,21116.0,48.0
2021-04-30,37199.0,17500.0,49.0
2021-05-01,35636.0,15493.0,48.0
2021-05-02,31959.0,16296.0,49.0
2021-05-03,26011.0,19519.0,45.0
2021-05-04,37190.0,26148.0,57.0
2021-05-05,41953.0,23106.0,58.0
2021-05-06,42464.0,27152.0,63.0
2021-05-07,38460.0,26662.0,54.0
2021-05-08,41971.0,27456.0,64.0
2021-05-09,35801.0,29318.0,68.0
2021-05-10,27487.0,31209.0,65.0
2021-05-11,37290.0,32978.0,79.0
2021-05-12,43529.0,34600.0,95.0
2021-05-13,39955.0,33733.0,97.0
2021-05-14,34694.0,31319.0,93.0
2021-05-15,32680.0,29442.0,96.0
2021-05-16,29704.0,34296.0,89.0
2021-05-17,21402.0,99651.0,87.0
2021-05-18,31337.0,45926.0,97.0
2021-05-19,32762.0,48413.0,112.0
2021-05-20,30491.0,44369.0,128.0
2021-05-21,29673.0,41032.0,142.0
2021-05-22,28514.0,45400.0,176.0
2021-05-23,25820.0,37316.0,188.0
2021-05-24,17821.0,36039.0,196.0
2021-05-25,29803.0,33397.0,177.0
2021-05-26,28798.0,35525.0,151.0
2021-05-27,24166.0,30539.0,181.0
2021-05-28,22318.0,26270.0,194.0
2021-05-29,23513.0,28100.0,198.0
2021-05-30,19894.0,29013.0,186.0
2021-05-31,12300.0,28525.0,174.0
